ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
11391,<NULL>,<NULL>,<NULL>,102040630,100559334,U4,3-135111016,<NULL>,<NULL>,<NULL>,<NULL>,Eriope filifolia,Eriope filifolia,species,<NULL>,2012-10-22 18:13:12
12662,<NULL>,<NULL>,<NULL>,100912621,101299820,U4,3-25964,<NULL>,<NULL>,<NULL>,<NULL>,Aphyllanthaceae,Aphyllanthaceae,family,<NULL>,2012-10-22 18:13:12
14756,<NULL>,<NULL>,<NULL>,100561376,101842408,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Notoseris triflora,Notoseris triflora,species,<NULL>,2012-10-22 18:13:12
18172,<NULL>,<NULL>,<NULL>,100006237,102012046,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Psilurus incurvus,Psilurus incurvus,species,<NULL>,2012-10-22 18:13:12
19993,<NULL>,<NULL>,<NULL>,101206915,101712494,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Lucilia recurva,Lucilia recurva,species,<NULL>,2012-10-22 18:13:12
26789,<NULL>,<NULL>,<NULL>,100694817,100204041,U4,3-20324016,<NULL>,<NULL>,<NULL>,<NULL>,Hyptis conferta,Hyptis conferta,species,<NULL>,2012-10-22 18:13:12
27145,<NULL>,<NULL>,<NULL>,102020607,102020609,U4,3-112495016,<NULL>,<NULL>,<NULL>,<NULL>,Dirhamphis mexicana,Dirhamphis mexicana,species,<NULL>,2012-10-22 18:13:12
27682,<NULL>,<NULL>,<NULL>,101515297,101014510,U4,3-24726,<NULL>,<NULL>,<NULL>,<NULL>,Pseudophleum,Pseudophleum,genus,<NULL>,2012-10-22 18:13:12
27694,<NULL>,<NULL>,<NULL>,101561875,101712494,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Lucilia nitens,Lucilia nitens,species,<NULL>,2012-10-22 18:13:12
29313,<NULL>,<NULL>,<NULL>,101855663,101696893,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Onoseris annua,Onoseris annua,species,<NULL>,2012-10-22 18:13:12
30679,<NULL>,<NULL>,<NULL>,101450411,101236694,NCBI,570170,<NULL>,<NULL>,<NULL>,<NULL>,Catabrosella araratica,Catabrosella araratica,species,<NULL>,2012-10-22 18:13:12
35275,<NULL>,<NULL>,<NULL>,101952306,101014510,U4,3-24838,<NULL>,<NULL>,<NULL>,<NULL>,Scribneria,Scribneria,genus,<NULL>,2012-10-22 18:13:12
35363,<NULL>,<NULL>,<NULL>,100273830,100418218,NCBI,111370,<NULL>,<NULL>,<NULL>,<NULL>,Ambrostoma quadriimpressum,Ambrostoma quadriimpressum,species,<NULL>,2012-10-22 18:13:12
36841,<NULL>,<NULL>,<NULL>,100032290,100032287,U4,8734288,<NULL>,<NULL>,<NULL>,<NULL>,Phania funesta,Phania funesta,species,<NULL>,2012-10-22 18:13:12
37581,<NULL>,<NULL>,<NULL>,101195811,100319489,IRMNG,10238737,148582,<NULL>,<NULL>,<NULL>,Gaussia princeps,Gaussia princeps,species,<NULL>,2012-12-07 09:33:15
42953,<NULL>,<NULL>,<NULL>,100061007,101014510,U4,3-25115,<NULL>,<NULL>,<NULL>,<NULL>,Vulpiella,Vulpiella,genus,<NULL>,2012-10-22 18:13:12
42954,<NULL>,<NULL>,<NULL>,100061006,101014510,U4,3-25116,200283,<NULL>,<NULL>,<NULL>,Wangenheimia,Wangenheimia,genus,<NULL>,2012-12-03 14:38:00
42960,<NULL>,<NULL>,<NULL>,100061009,101014510,U4,3-25123,<NULL>,<NULL>,<NULL>,<NULL>,Ystia,Ystia,genus,<NULL>,2012-10-22 18:13:12
43266,<NULL>,<NULL>,<NULL>,101822703,101014510,U4,3-23443,368333,<NULL>,<NULL>,<NULL>,Anthochloa,Anthochloa,genus,<NULL>,2012-12-03 14:38:00
43271,<NULL>,<NULL>,<NULL>,101822704,101014510,U4,3-23449,388694,<NULL>,<NULL>,<NULL>,Antinoria,Antinoria,genus,<NULL>,2012-12-03 14:38:00
45332,<NULL>,<NULL>,<NULL>,101937722,101886574,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Novafabricia triangularis,Novafabricia triangularis,species,<NULL>,2012-10-22 18:13:12
47086,<NULL>,<NULL>,<NULL>,101450612,100180222,NCBI,112477,<NULL>,<NULL>,<NULL>,<NULL>,Reticulitermes kanmonensis,Reticulitermes kanmonensis,species,<NULL>,2012-10-22 18:13:12
50131,<NULL>,<NULL>,<NULL>,100622434,100180222,NCBI,104033,<NULL>,<NULL>,<NULL>,<NULL>,Reticulitermes yaeyamanus,Reticulitermes yaeyamanus,species,<NULL>,2012-10-22 18:13:12
50873,<NULL>,<NULL>,<NULL>,100180444,100371554,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Metalasia montana,Metalasia montana,species,<NULL>,2012-10-22 18:13:12
57903,<NULL>,<NULL>,<NULL>,100217234,100217235,U4,3-156830016,<NULL>,<NULL>,<NULL>,<NULL>,Solanum citrullifolium setigerum,Solanum citrullifolium setigerum,subspecies,<NULL>,2012-10-22 18:13:12
59711,<NULL>,<NULL>,<NULL>,100516266,101364186,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Luciliocline catamarcensis,Luciliocline catamarcensis,species,<NULL>,2012-10-22 18:13:12
62500,<NULL>,<NULL>,<NULL>,101667765,102038026,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Facelis plumosa,Facelis plumosa,species,<NULL>,2012-10-22 18:13:12
63199,<NULL>,<NULL>,<NULL>,101888217,101014510,U4,3-24847,52160,<NULL>,<NULL>,<NULL>,Sesleria,Sesleria,genus,<NULL>,2012-12-03 14:38:01
